AGE_GROUP,SEX_LABEL,EMPLOYED_FLAG,Employment_Rate
18-24,Female,0.6634761304005997,66.34761304005997
18-24,Male,0.6607650123153767,66.07650123153766
25-34,Female,0.7864596337910945,78.64596337910945
25-34,Male,0.865109090141796,86.5109090141796
35-44,Female,0.7761108217279776,77.61108217279777
35-44,Male,0.8814745110874724,88.14745110874725
45-54,Female,0.7688724283144215,76.88724283144215
45-54,Male,0.8636821088854981,86.36821088854981
55-64,Female,0.6158821656584614,61.588216565846146
55-64,Male,0.7141305356977068,71.41305356977068
65+,Female,0.19186098668117962,19.186098668117964
65+,Male,0.25806842159881005,25.806842159881004
